Nom magasin;Adresse;Ville;Code postale;Téléphone;Catégories;Region;image name
Boutique Montblanc;30 r Marguerite Puhl Demange;Metz;57000 ;03 87 20 48 10;Mode;Lorraine;IMG00518-20140101-1556.jpg
Crêperie St Malo;14 r des Clercs;Metz;57000 ;03 87 74 56 85;Alimentaire;Lorraine;IMG00519-20140101-1558.jpg
Arizona Jean's;15 Bis r Clercs;Metz;57000 ;03 87 36 29 21;Mode;Lorraine;IMG00520-20140101-1558.jpg
Baiser Volé;20 r Clercs;Metz;57000 ;03 87 32 69 69;Mode;Lorraine;IMG00521-20140101-1559.jpg
Bodereau Thierry;22 r Clercs;Metz;57000 ;03 87 75 12 87;Divers;Lorraine;IMG00522-20140101-1559.jpg
Flunch;1 pl Armand Knecht;Metz;57000 ;03 87 74 44 88;Alimentaire;Lorraine;IMG00523-20140101-1559.jpg
Madura ;26 r Clercs;Metz;57000 ;03 87 18 41 31;Mode;Lorraine;IMG00525-20140101-1600.jpg
Vert Et Noir;19 r Clercs;Metz;57000 ;03 87 74 34 09;Alimentaire;Lorraine;IMG00526-20140101-1600.jpg
Zapa;30 r Clercs;Metz;57000 ;03 87 37 07 30;Mode;Lorraine;IMG00527-20140101-1600.jpg
Bonnie Mégastore;32 r des Clercs;Metz;57000 ;09 72 11 25 75;Mode;Lorraine;IMG00528-20140101-1601.jpg
Aubade;1 r en bonne ruelle;Metz;57000 ;03 87 74 41 56;Mode;Lorraine;IMG00531-20140101-1602.jpg
Kookai;1 Bis en Bonne Ruelle;Metz;57000 ;03 87 37 24 86;Mode;Lorraine;IMG00532-20140101-1602.jpg
IKKS Women;5 en Bonne Ruelle;Metz;57000 ;03 87 36 24 16;Mode;Lorraine;IMG00533-20140101-1602.jpg
France Arno;52 r Serpenoise;Metz;57000 ;03 87 36 20 24;Mode;Lorraine;IMG00536-20140101-1604.jpg
Mango France;46 r Serpenoise;Metz;57000 ;03 87 15 17 54;Mode;Lorraine;IMG00537-20140101-1604.jpg
Pimkie;45 r Serpenoise;Metz;57000 ;03 87 18 47 98;Mode;Lorraine;IMG00538-20140101-1604.jpg
